Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Composite_Score,cluster_raw,cluster
EVG,Tập đoàn Everland,HOSE,Công nghiệp,2022,1.9091296923984145,-0.4269532314091266,0.8156649972261506,0.1951465220003164,-0.3320737353625296,0.4321828489706451,2,0
FCM,Khoáng sản FECON,HOSE,Công nghiệp,2022,-0.15243117247443,-0.2671016438744675,-0.2017638724152314,-0.4902074314704279,-0.231801892642594,-0.2686612025754301,2,0
FCN,FECON CORP,HOSE,Công nghiệp,2022,-0.3959423793621841,-0.7072340577832956,-0.3110687608651467,0.8711699478025647,-0.3378516227155983,-0.176185374584732,1,1
GEX,Tập đoàn Gelex,HOSE,Công nghiệp,2022,-0.3798544720778136,0.0737380230620811,-0.0479182970725344,2.371691043329342,-0.1653124033748334,0.3704687787732483,1,1
GMD,Gemadept,HOSE,Công nghiệp,2022,-0.2403262604069058,-0.2267059737852743,-0.2456031454186792,1.1534131474738365,0.202733138101668,0.128702181192929,1,1
GMH,Minh Hưng Quảng Trị,HOSE,Công nghiệp,2022,0.6342629435846295,-0.4135730306879724,0.0293108779292868,-1.4704775910277832,0.3388603729188804,-0.1763232854565917,2,0
GSP,Vận tải Sản phẩm Khí Quốc tế,HOSE,Công nghiệp,2022,-0.2576068838469699,-0.0904288862592356,0.2982916132667768,0.1049299438676249,-0.0118662770700022,0.0086639019916387,1,1
HAH,Vận tải và Xếp dỡ Hải An,HOSE,Công nghiệp,2022,-0.0952855259996165,-0.1985590186130305,-0.1736158774890242,0.7385355796617973,0.9738602306143882,0.2489870776349028,1,1
HAS,Hacisco,HOSE,Công nghiệp,2022,-0.2516608165525034,-0.1153550820560792,-0.2184187639527485,-1.447299153045066,-0.3663860376225,-0.4798239706457794,2,0
HBC,Tập đoàn Xây dựng Hòa Bình,HOSE,Công nghiệp,2022,-0.4535915630979586,3.266603424521004,-0.1253258952762836,1.6509922436031574,-3.880475114520621,0.0916406190458596,0,2
HHV,Đầu tư Hạ tầng Giao thông Đèo Cả,HOSE,Công nghiệp,2022,-0.5027829099595152,-0.5877816367807975,-0.3265533668444925,1.3166104553423406,-0.2926564359312819,-0.0786327788347492,1,1
HID,Halcom Vietnam,HOSE,Công nghiệp,2022,-0.1840318377255817,0.3151017459897287,-0.4368743695423895,-0.565602729846021,-0.4350981859337158,-0.2613010754115958,2,0
HT1,VICEM Hà Tiên,HOSE,Công nghiệp,2022,-0.4480385483809201,-0.1521369072874106,0.3552496300479153,1.3093598782333415,-0.2038747964575819,0.1721118512310688,1,1
HTI,PT Hạ tầng IDICO,HOSE,Công nghiệp,2022,-0.4408836039010197,0.4098152698988726,-1.185330627791303,-0.3832577010321962,-0.0596982687504086,-0.331870986315211,2,0
HTV,Logistics Vicem,HOSE,Công nghiệp,2022,-0.0708244899649326,-0.3342363765754919,-0.1413375016187077,-0.9046845771871368,-0.1432675779271864,-0.318870104654691,2,0
HU1,Xây dựng HUD1,HOSE,Công nghiệp,2022,-0.4619943428987588,-1.0715093445544486,0.7730584146249021,-0.6222933807515956,-0.3290708889397247,-0.342361908503925,2,0
HUB,Xây lắp Huế,HOSE,Công nghiệp,2022,-0.1249119735371677,-0.246050084818809,-0.1200589773267222,-0.5948400959336382,0.1181598719927687,-0.1935402519247137,2,0
HVH,Đầu tư và Công nghệ HVC,HOSE,Công nghiệp,2022,-0.213943067572652,-0.2699183249863804,-0.1858881630770008,-0.6611534593346103,-0.1833228270417833,-0.3028451684024854,2,0
HVX,Xi măng Vicem Hải Vân,HOSE,Công nghiệp,2022,-0.5191338150174796,-0.171643812571714,0.3589933638674375,-0.4389752566178082,-0.3715155175193355,-0.2284550075717799,2,0
L10,LILAMA 10,HOSE,Công nghiệp,2022,-0.0776414872866016,0.6326744648188496,-0.0638934790524787,-0.2198898815897967,-0.2315048530233348,0.0079489527733275,2,0
LBM,Khoáng sản Lâm Đồng,HOSE,Công nghiệp,2022,-0.109060362750554,-0.3354445265333023,0.3706539830087155,-0.3363837044811841,0.6298322283828635,0.0439195235253077,2,0
LCG,LIZEN,HOSE,Công nghiệp,2022,-0.3990335272859491,-0.0689380256117609,-0.388132617909559,0.3507273587050825,-0.1104944002652875,-0.1231742424734947,1,1
LGC,Đầu tư Cầu đường CII,HOSE,Công nghiệp,2022,-0.5025605333697083,0.1463885933131538,-0.4421578091654725,0.7883379511474078,-0.0788899449810408,-0.0177763486111319,1,1
LM8,LILAMA 18,HOSE,Công nghiệp,2022,-0.4848532081841459,0.0694908496020987,-0.0636472827935247,-0.032438064765952,-0.2775425670852888,-0.1577980546453625,1,1
MCP,In và Bao bì Mỹ Châu,HOSE,Công nghiệp,2022,-0.3110972413427069,-0.3114567082361922,0.2307583231927623,-0.8989924911917824,-0.1707787843454022,-0.2923133803846643,2,0
MDG,Xây dựng Miền Đông,HOSE,Công nghiệp,2022,-0.3601603908868979,0.0442083278489489,-0.1175584071388313,-0.9305566022721692,0.0134559006698145,-0.270122234355827,2,0
NAV,Tấm lợp và gỗ Nam Việt,HOSE,Công nghiệp,2022,2.6035211936786387,-0.4296098165965344,-0.0900553959130124,-1.8124752875390675,0.7634077237614024,0.2069576834782853,2,0
